! LIRICAL TSV Output (2.4.0)
! Sample: subject
! Observed HPO terms:
!  Aortic regurgitation <a href="https://hpo.jax.org/app/browse/term/HP:0001659">HP:0001659</a>
!  Arachnodactyly <a href="https://hpo.jax.org/app/browse/term/HP:0001166">HP:0001166</a>
!  Bifid uvula <a href="https://hpo.jax.org/app/browse/term/HP:0000193">HP:0000193</a>
!  Camptodactyly <a href="https://hpo.jax.org/app/browse/term/HP:0012385">HP:0012385</a>
!  Dilatation of the sinus of Valsalva <a href="https://hpo.jax.org/app/browse/term/HP:0011645">HP:0011645</a>
!  Malar flattening <a href="https://hpo.jax.org/app/browse/term/HP:0000272">HP:0000272</a>
!  Micrognathia <a href="https://hpo.jax.org/app/browse/term/HP:0000347">HP:0000347</a>
!  Patent foramen ovale <a href="https://hpo.jax.org/app/browse/term/HP:0001655">HP:0001655</a>
!  Pectus carinatum <a href="https://hpo.jax.org/app/browse/term/HP:0000768">HP:0000768</a>
!  Pulmonary artery dilatation <a href="https://hpo.jax.org/app/browse/term/HP:0004927">HP:0004927</a>
!  Scoliosis <a href="https://hpo.jax.org/app/browse/term/HP:0002650">HP:0002650</a>
!  Tricuspid valve prolapse <a href="https://hpo.jax.org/app/browse/term/HP:0001704">HP:0001704</a>
rank	diseaseName	diseaseCurie	pretestprob	posttestprob	compositeLR
76	Campomelic dysplasia	OMIM:114290	1/8661	0.00%	-4.235
77	Ehlers-Danlos syndrome, musculocontractural type, 2	OMIM:615539	1/8661	0.00%	-4.417
78	Cranioectodermal dysplasia 2	OMIM:613610	1/8661	0.00%	-4.48
79	Cerebrocostomandibular syndrome	OMIM:117650	1/8661	0.00%	-4.524
80	Midface hypoplasia, hearing impairment, elliptocytosis, and nephrocalcinosis	OMIM:300990	1/8661	0.00%	-4.524
81	Apert syndrome	OMIM:101200	1/8661	0.00%	-4.531
82	Mucolipidosis II alpha/beta	OMIM:252500	1/8661	0.00%	-4.667
83	Martsolf syndrome 1	OMIM:212720	1/8661	0.00%	-4.735
84	Cutis laxa, autosomal recessive, type IA	OMIM:219100	1/8661	0.00%	-4.739
85	Neurodevelopmental disorder with craniofacial dysmorphism and skeletal defects	OMIM:620083	1/8661	0.00%	-4.784
86	Marshall-Smith syndrome	OMIM:602535	1/8661	0.00%	-4.789
87	Neu-Laxova syndrome 1	OMIM:256520	1/8661	0.00%	-4.977
88	Brachycephaly, deafness, cataract, microstomia, and impaired intellectual development	OMIM:601353	1/8661	0.00%	-5.033
89	Craniofacial dysmorphism, skeletal anomalies, and impaired intellectual development 1	OMIM:213980	1/8661	0.00%	-5.083
90	Cowden syndrome 1	OMIM:158350	1/8661	0.00%	-5.154
91	Intellectual developmental disorder, X-linked syndromic, Bain type	OMIM:300986	1/8661	0.00%	-5.154
92	Corpus callosum, agenesis of, with facial anomalies and Robin sequence	OMIM:217980	1/8661	0.00%	-5.188
93	Intellectual developmental disorder, X-linked syndromic 34	OMIM:300967	1/8661	0.00%	-5.242
94	Cri-Du-Chat syndrome	OMIM:123450	1/8661	0.00%	-5.25
95	Neurodevelopmental disorder with dysmorphic facies and distal skeletal anomalies	OMIM:618659	1/8661	0.00%	-5.384
96	Intellectual developmental disorder, X-linked 99, syndromic, female-restricted	OMIM:300968	1/8661	0.00%	-5.409
97	White-Sutton syndrome	OMIM:616364	1/8661	0.00%	-5.431
98	Yunis-Varon syndrome	OMIM:216340	1/8661	0.00%	-5.507
99	Congenital disorder of glycosylation, type IICC	OMIM:621381	1/8661	0.00%	-5.675
100	Noonan syndrome 3	OMIM:609942	1/8661	0.00%	-5.713
101	Neurodevelopmental disorder with microcephaly, absent speech, and hypotonia	OMIM:621060	1/8661	0.00%	-5.721
102	Koolen-De Vries syndrome	OMIM:610443	1/8661	0.00%	-5.785
103	Marfan lipodystrophy syndrome	OMIM:616914	1/8661	0.00%	-5.788
104	Wiedemann-Rautenstrauch syndrome	OMIM:264090	1/8661	0.00%	-5.791
105	Melnick-Needles syndrome	OMIM:309350	1/8661	0.00%	-5.836
106	Lateral meningocele syndrome	OMIM:130720	1/8661	0.00%	-5.855
107	Peters-plus syndrome	OMIM:261540	1/8661	0.00%	-5.949
108	Fibromuscular dysplasia, multifocal	OMIM:619329	1/8661	0.00%	-5.983
109	Antley-Bixler syndrome with genital anomalies and disordered steroidogenesis	OMIM:201750	1/8661	0.00%	-6.1
110	Spondyloepiphyseal dysplasia with congenital joint dislocations	OMIM:143095	1/8661	0.00%	-6.128
111	Emanuel syndrome	OMIM:609029	1/8661	0.00%	-6.139
112	Sweeney-Cox syndrome	OMIM:617746	1/8661	0.00%	-6.166
113	Tetrasomy 15q26	OMIM:614846	1/8661	0.00%	-6.198
114	Coffin-Siris syndrome 12	OMIM:619325	1/8661	0.00%	-6.218
115	Intellectual developmental disorder, X-linked syndromic 37	OMIM:301118	1/8661	0.00%	-6.309
116	Smith-Magenis syndrome	OMIM:182290	1/8661	0.00%	-6.311
117	Loeys-Dietz syndrome 6	OMIM:619656	1/8661	0.00%	-6.373
118	Weill-Marchesani syndrome 2, dominant	OMIM:608328	1/8661	0.00%	-6.373
119	Chromosome 2p16.1-p15 deletion syndrome	OMIM:612513	1/8661	0.00%	-6.395
120	Opitz-Kaveggia syndrome	OMIM:305450	1/8661	0.00%	-6.396
121	Homocystinuria due to cystathionine beta-synthase deficiency	OMIM:236200	1/8661	0.00%	-6.401
122	Polymicrogyria with or without vascular-type EDS	OMIM:618343	1/8661	0.00%	-6.442
123	Andersen cardiodysrhythmic periodic paralysis	OMIM:170390	1/8661	0.00%	-6.446
124	Intellectual developmental disorder, X-linked syndromic 35	OMIM:300998	1/8661	0.00%	-6.522
125	Ramond-Elliott neurodevelopmental syndrome	OMIM:621421	1/8661	0.00%	-6.531
126	Zttk syndrome	OMIM:617140	1/8661	0.00%	-6.623
127	Hypertelorism, microtia, facial clefting syndrome	OMIM:239800	1/8661	0.00%	-6.632
128	Carey-Fineman-Ziter syndrome	OMIM:254940	1/8661	0.00%	-6.693
129	Arthrogryposis, distal, type 2A	OMIM:193700	1/8661	0.00%	-6.7
130	Chromosome 16p13.3 duplication syndrome	OMIM:613458	1/8661	0.00%	-6.752
131	Karayol-Borroto-Haghshenas neurodevelopmental syndrome	OMIM:620985	1/8661	0.00%	-6.817
132	Neuromuscular disorder, congenital, with dysmorphic facies	OMIM:620775	1/8661	0.00%	-6.827
133	Immunodeficiency 59 and hypoglycemia	OMIM:233600	1/8661	0.00%	-6.91
134	Intellectual developmental disorder, autosomal dominant 21	OMIM:615502	1/8661	0.00%	-6.944
135	Aarskog-Scott syndrome	OMIM:305400	1/8661	0.00%	-7.028
136	Macrocephaly, dysmorphic facies, and psychomotor retardation	OMIM:617011	1/8661	0.00%	-7.059
137	Escobar syndrome	OMIM:265000	1/8661	0.00%	-7.063
138	Cardiac, facial, and digital anomalies with developmental delay	OMIM:618164	1/8661	0.00%	-7.064
139	Chromosome 1p36 deletion syndrome, proximal	OMIM:619343	1/8661	0.00%	-7.073
140	Intellectual developmental disorder, X-linked syndromic, Snyder-Robinson type	OMIM:309583	1/8661	0.00%	-7.082
141	Meckel syndrome 1	OMIM:249000	1/8661	0.00%	-7.136
142	Roberts-SC phocomelia syndrome	OMIM:268300	1/8661	0.00%	-7.156
143	Spondylometaepiphyseal dysplasia, short Limb-Hand type	OMIM:271665	1/8661	0.00%	-7.161
144	Ehlers-Danlos syndrome, classic-like, 2	OMIM:618000	1/8661	0.00%	-7.232
145	Whistling face syndrome, recessive form	OMIM:277720	1/8661	0.00%	-7.252
146	Harel-Tora neurodevelopmental syndrome	OMIM:621377	1/8661	0.00%	-7.289
147	Glass syndrome	OMIM:612313	1/8661	0.00%	-7.317
148	Van Maldergem syndrome 1	OMIM:601390	1/8661	0.00%	-7.32
149	Antley-Bixler syndrome without genital anomalies or disordered steroidogenesis	OMIM:207410	1/8661	0.00%	-7.35
150	Developmental and epileptic encephalopathy 85, with or without midline brain defects	OMIM:301044	1/8661	0.00%	-7.394
151	Neurodevelopmental disorder with progressive microcephaly, spasticity, and brain anomalies	OMIM:617527	1/8661	0.00%	-7.395
152	Osteochondrodysplasia, complex lethal, Symoens-Barnes-Gistelinck type	OMIM:616897	1/8661	0.00%	-7.397
153	Congenital heart defects, multiple types, 8, with or without heterotaxy	OMIM:619657	1/8661	0.00%	-7.412
154	Mandibulofacial dysostosis, Guion-Almeida type	OMIM:610536	1/8661	0.00%	-7.461
155	Bone fragility with contractures, arterial rupture, and deafness	OMIM:612394	1/8661	0.00%	-7.469
156	Fibrochondrogenesis 1	OMIM:228520	1/8661	0.00%	-7.488
157	Fryns syndrome	OMIM:229850	1/8661	0.00%	-7.517
158	Frontometaphyseal dysplasia	OMIM:305620	1/8661	0.00%	-7.522
159	Mend syndrome	OMIM:300960	1/8661	0.00%	-7.599
160	Kapur-Toriello syndrome	OMIM:244300	1/8661	0.00%	-7.626
161	Neurodevelopmental disorder with seizures and joint laxity	OMIM:621302	1/8661	0.00%	-7.648
162	Ritscher-Schinzel syndrome 2	OMIM:300963	1/8661	0.00%	-7.664
163	Wolf-Hirschhorn syndrome	OMIM:194190	1/8661	0.00%	-7.681
164	Mucolipidosis III alpha/beta	OMIM:252600	1/8661	0.00%	-7.704
165	Carpenter syndrome 2	OMIM:614976	1/8661	0.00%	-7.71
166	Mucopolysaccharidosis-Plus syndrome	OMIM:617303	1/8661	0.00%	-7.726
167	Hyperphosphatasia with impaired intellectual development syndrome 1	OMIM:239300	1/8661	0.00%	-7.737
168	Cataracts, growth hormone deficiency, sensory neuropathy, sensorineural hearing loss, and skeletal dysplasia	OMIM:616007	1/8661	0.00%	-7.746
169	Mass syndrome	OMIM:604308	1/8661	0.00%	-7.75
170	Cardiofaciocutaneous syndrome 1	OMIM:115150	1/8661	0.00%	-7.754
171	Hurler-Scheie syndrome	OMIM:607015	1/8661	0.00%	-7.783
172	Cohen syndrome	OMIM:216550	1/8661	0.00%	-7.815
173	Fontaine progeroid syndrome	OMIM:612289	1/8661	0.00%	-7.829
174	Intellectual disability-hypotonic facies syndrome, X-linked	OMIM:309580	1/8661	0.00%	-7.837
175	Arthrogryposis, distal, type 3	OMIM:114300	1/8661	0.00%	-7.863
176	Kagami-Ogata syndrome	OMIM:608149	1/8661	0.00%	-7.872
177	Facial dysmorphism, lens dislocation, anterior segment abnormalities, and spontaneous filtering blebs	OMIM:601552	1/8661	0.00%	-7.882
178	Thrombocytopenia 11 with multiple congenital anomalies and dysmorphic facies	OMIM:620654	1/8661	0.00%	-7.882
179	Baller-Gerold syndrome	OMIM:218600	1/8661	0.00%	-7.898
180	Coffin-Lowry syndrome	OMIM:303600	1/8661	0.00%	-7.909
181	Cardiac valvular dysplasia 2	OMIM:620067	1/8661	0.00%	-7.985
182	Crisponi/cold-induced sweating syndrome 1	OMIM:272430	1/8661	0.00%	-7.995
183	Restrictive dermopathy 1	OMIM:275210	1/8661	0.00%	-8.002
184	Neurodevelopmental disorder with hypotonia and dysmorphic facies	OMIM:619503	1/8661	0.00%	-8.008
185	Sotos syndrome	OMIM:117550	1/8661	0.00%	-8.029
186	Peroxisome biogenesis disorder 2A (Zellweger)	OMIM:214110	1/8661	0.00%	-8.034
187	Omodysplasia 1	OMIM:258315	1/8661	0.00%	-8.064
188	Steinfeld syndrome	OMIM:184705	1/8661	0.00%	-8.084
189	Gabriele-De vries syndrome	OMIM:617557	1/8661	0.00%	-8.092
190	Intellectual developmental disorder, X-linked syndromic, Turner type	OMIM:309590	1/8661	0.00%	-8.113
191	Treacher Collins syndrome 1	OMIM:154500	1/8661	0.00%	-8.146
192	Arboleda-Tham syndrome	OMIM:616268	1/8661	0.00%	-8.172
193	Cardiospondylocarpofacial syndrome	OMIM:157800	1/8661	0.00%	-8.21
194	Pseudoxanthoma elasticum, forme fruste	OMIM:177850	1/8661	0.00%	-8.221
195	Hemifacial microsomia	OMIM:164210	1/8661	0.00%	-8.259
196	Down syndrome	OMIM:190685	1/8661	0.00%	-8.301
197	CK syndrome	OMIM:300831	1/8661	0.00%	-8.312
198	Van maldergem syndrome 2	OMIM:615546	1/8661	0.00%	-8.318
199	Intellectual developmental disorder, autosomal dominant 73	OMIM:620450	1/8661	0.00%	-8.326
200	ReNU syndrome	OMIM:620851	1/8661	0.00%	-8.334
201	Neurodevelopmental disorder with behavioral, ear, and skeletal abnormalities	OMIM:621263	1/8661	0.00%	-8.353
202	Arthrogryposis, distal, type 5	OMIM:108145	1/8661	0.00%	-8.391
203	Smith-Lemli-Opitz syndrome	OMIM:270400	1/8661	0.00%	-8.414
204	Dyssegmental dysplasia, Rolland-Desbuquois type	OMIM:224400	1/8661	0.00%	-8.49
205	Saethre-Chotzen syndrome	OMIM:101400	1/8661	0.00%	-8.594
206	Multiple pterygium syndrome, Lethal type	OMIM:253290	1/8661	0.00%	-8.598
207	Multiple pterygium syndrome, X-linked	OMIM:312150	1/8661	0.00%	-8.598
208	Camptodactyly, tall stature, and hearing loss syndrome	OMIM:610474	1/8661	0.00%	-8.603
209	Zaki syndrome	OMIM:619648	1/8661	0.00%	-8.619
210	Miller-Dieker lissencephaly syndrome	OMIM:247200	1/8661	0.00%	-8.656
211	Hamamy syndrome	OMIM:611174	1/8661	0.00%	-8.67
212	Galloway-Mowat syndrome 1	OMIM:251300	1/8661	0.00%	-8.67
213	Myelofibrosis, congenital, with anemia, neutropenia, developmental delay, and ocular abnormalities	OMIM:620939	1/8661	0.00%	-8.692
214	Femoral-facial syndrome	OMIM:134780	1/8661	0.00%	-8.699
215	Ehlers-Danlos syndrome, spondylodysplastic type, 3	OMIM:612350	1/8661	0.00%	-8.75
216	Robinow syndrome, autosomal dominant 2	OMIM:616331	1/8661	0.00%	-8.765
217	Zimmermann-Laband syndrome 1	OMIM:135500	1/8661	0.00%	-8.771
218	Alveolar capillary dysplasia with misalignment of pulmonary veins	OMIM:265380	1/8661	0.00%	-8.798
219	Vacterl association with hydrocephalus	OMIM:276950	1/8661	0.00%	-8.867
220	Bohring-Opitz syndrome	OMIM:605039	1/8661	0.00%	-8.898
221	Peroxisome biogenesis disorder 5A (Zellweger)	OMIM:614866	1/8661	0.00%	-8.942
222	Chromosome 17q11.2 deletion syndrome, 1.4-mb	OMIM:613675	1/8661	0.00%	-8.944
223	Weill-Marchesani syndrome 1	OMIM:277600	1/8661	0.00%	-8.966
224	Stankiewicz-Isidor syndrome	OMIM:617516	1/8661	0.00%	-8.998
225	Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A, 4	OMIM:253800	1/8661	0.00%	-9.003
226	Rhizomelic chondrodysplasia punctata, type 1	OMIM:215100	1/8661	0.00%	-9.009
227	C syndrome	OMIM:211750	1/8661	0.00%	-9.021
228	Mucopolysaccharidosis, type VI	OMIM:253200	1/8661	0.00%	-9.077
229	Intellectual developmental disorder, autosomal dominant 44, with microcephaly	OMIM:617061	1/8661	0.00%	-9.104
230	Congenital disorder of glycosylation, type IIg	OMIM:611209	1/8661	0.00%	-9.111
231	Bainbridge-Ropers syndrome	OMIM:615485	1/8661	0.00%	-9.145
232	Corpus callosum, agenesis of, with impaired intellectual development, ocular coloboma and micrognathia	OMIM:300472	1/8661	0.00%	-9.219
233	Au-Kline syndrome	OMIM:616580	1/8661	0.00%	-9.226
234	Xia-Gibbs syndrome	OMIM:615829	1/8661	0.00%	-9.227
235	Boudin-Mortier syndrome	OMIM:619543	1/8661	0.00%	-9.227
236	Digeorge syndrome	OMIM:188400	1/8661	0.00%	-9.25
237	Leopard syndrome 1	OMIM:151100	1/8661	0.00%	-9.27
238	Adams-Oliver syndrome 1	OMIM:100300	1/8661	0.00%	-9.302
239	Ritscher-Schinzel syndrome 1	OMIM:220210	1/8661	0.00%	-9.322
240	Insulin-Like growth factor I, resistance to	OMIM:270450	1/8661	0.00%	-9.345
241	Mucopolysaccharidosis IVA	OMIM:253000	1/8661	0.00%	-9.355
242	Jaberi-Elahi syndrome	OMIM:617988	1/8661	0.00%	-9.365
243	Intellectual developmental disorder with dysmorphic facies, seizures, and distal limb anomalies	OMIM:617452	1/8661	0.00%	-9.367
244	Mowat-Wilson syndrome	OMIM:235730	1/8661	0.00%	-9.369
245	Acrocallosal syndrome	OMIM:200990	1/8661	0.00%	-9.381
246	Spinal muscular atrophy with congenital bone fractures 1	OMIM:616866	1/8661	0.00%	-9.386
247	Hajdu-Cheney syndrome	OMIM:102500	1/8661	0.00%	-9.387
248	Pseudodiastrophic dysplasia	OMIM:264180	1/8661	0.00%	-9.426
249	Coffin-Siris syndrome 1	OMIM:135900	1/8661	0.00%	-9.433
250	Noonan syndrome 10	OMIM:616564	1/8661	0.00%	-9.495
251	Mullerian derivatives, persistence of, with lymphangiectasia and postaxial polydactyly	OMIM:235255	1/8661	0.00%	-9.56
252	Vertebral anomalies and variable endocrine and T-cell dysfunction	OMIM:618223	1/8661	0.00%	-9.582
253	Arterial tortuosity-bone fragility syndrome	OMIM:620908	1/8661	0.00%	-9.586
254	Chromosome 15q11.2 deletion syndrome	OMIM:615656	1/8661	0.00%	-9.604
255	Meier-Gorlin syndrome 1	OMIM:224690	1/8661	0.00%	-9.606
256	Diamond-Blackfan anemia 6	OMIM:612561	1/8661	0.00%	-9.608
257	Neurodevelopmental disorder with cataracts, poor growth, and dysmorphic facies	OMIM:618571	1/8661	0.00%	-9.608
258	Desbuquois dysplasia 1	OMIM:251450	1/8661	0.00%	-9.609
259	Ectodermal dysplasia, sensorineural hearing loss, and distinctive facial features	OMIM:609944	1/8661	0.00%	-9.613
260	Spondyloepimetaphyseal dysplasia, X-linked, with mental deterioration	OMIM:300232	1/8661	0.00%	-9.616
261	Intellectual developmental disorder with cardiac defects and dysmorphic facies	OMIM:618316	1/8661	0.00%	-9.631
262	Anauxetic dysplasia 3	OMIM:618853	1/8661	0.00%	-9.641
263	Amastia, bilateral, with ureteral triplication and dysmorphism	OMIM:104350	1/8661	0.00%	-9.654
264	Brachyphalangy, polydactyly, and tibial aplasia/hypoplasia	OMIM:609945	1/8661	0.00%	-9.66
265	-M syndrome 1	OMIM:273750	1/8661	0.00%	-9.668
266	Intellectual developmental disorder, autosomal dominant 77	OMIM:621415	1/8661	0.00%	-9.681
267	Thrombocytopenia-absent radius syndrome	OMIM:274000	1/8661	0.00%	-9.713
268	Atelosteogenesis, type II	OMIM:256050	1/8661	0.00%	-9.741
269	Fraser syndrome	OMIM:219000	1/8661	0.00%	-9.749
270	Cutis laxa, neonatal, with marfanoid phenotype	OMIM:614100	1/8661	0.00%	-9.772
271	Seckel syndrome 10	OMIM:617253	1/8661	0.00%	-9.774
272	Proteasome-associated autoinflammatory syndrome 1 and digenic forms	OMIM:256040	1/8661	0.00%	-9.79
273	Coffin-Siris syndrome 3	OMIM:614608	1/8661	0.00%	-9.791
274	Neurocardiorenal malformation syndrome	OMIM:621379	1/8661	0.00%	-9.799
275	Lethal congenital contracture syndrome 10	OMIM:617022	1/8661	0.00%	-9.812
276	Peroxisome biogenesis disorder 1A (Zellweger)	OMIM:214100	1/8661	0.00%	-9.82
277	Orofaciodigital syndrome I	OMIM:311200	1/8661	0.00%	-9.825
278	Cornelia de Lange syndrome 1	OMIM:122470	1/8661	0.00%	-9.838
279	Chromosome 22q11.2 duplication syndrome	OMIM:608363	1/8661	0.00%	-9.839
280	VACTERL association, X-linked	OMIM:314390	1/8661	0.00%	-9.844
281	Hurler syndrome	OMIM:607014	1/8661	0.00%	-9.874
282	Ayme-Gripp syndrome	OMIM:601088	1/8661	0.00%	-9.883
283	Cardiofacioneurodevelopmental syndrome	OMIM:619123	1/8661	0.00%	-9.892
284	Geroderma osteodysplasticum	OMIM:231070	1/8661	0.00%	-9.906
285	Autoimmune disease, multisystem, with facial dysmorphism	OMIM:613385	1/8661	0.00%	-9.941
286	Teebi-Shaltout syndrome	OMIM:272950	1/8661	0.00%	-9.953
287	Mosaic variegated aneuploidy syndrome 1	OMIM:257300	1/8661	0.00%	-9.971
288	Neurodevelopmental disorder with short stature, prominent forehead, and feeding difficulties	OMIM:620070	1/8661	0.00%	-9.977
