dataset,agent,backbone,n_ok,n_err,R@1_strict,R@1_variants,R@5_strict,R@5_variants,cost_usd,mean_lat_ms
rarearena_rds,deeprare,deepseek_deepseek-v4-pro,33,21,0.000,0.000,0.000,0.000,0.0847,1310480
rarearena_rds,deeprare,google_gemini-3-flash-preview-20251217,500,0,0.000,0.000,0.002,0.002,6.2553,108662
rarearena_rds,deeprare,openai_gpt-5,63,37,0.000,0.000,0.000,0.000,2.1244,188154
rarearena_rds,llm_control,deepseek_deepseek-v4-flash,1976,24,0.197,0.210,0.313,0.338,0.5550,32470
rarearena_rds,llm_control,deepseek_deepseek-v4-pro,2000,0,0.180,0.193,0.306,0.329,0.6200,4576
rarearena_rds,llm_control,google_gemini-3-flash-preview-20251217,2000,0,0.265,0.281,0.384,0.415,1.7767,4034
rarearena_rds,llm_control,openai_gpt-5,1974,26,0.198,0.219,0.328,0.359,5.6710,5604
rarearena_rds,maidxo,deepseek_deepseek-v4-pro,1,51,0.000,0.000,0.000,0.000,0.0004,388793
rarearena_rds,maidxo,google_gemini-3-flash-preview-20251217,88,12,0.045,0.068,0.045,0.068,0.3329,255819
rarearena_rds,mdagents,deepseek_deepseek-v4-flash,1993,7,0.213,0.227,0.311,0.338,0.1910,31984
rarearena_rds,mdagents,deepseek_deepseek-v4-pro,2000,0,0.208,0.221,0.332,0.355,0.7859,10035
rarearena_rds,mdagents,google_gemini-3-flash-preview-20251217,2000,0,0.267,0.280,0.389,0.419,2.2269,6280
rarearena_rds,mdagents,openai_gpt-5,2000,0,0.209,0.225,0.335,0.366,6.5828,8603
rarearena_rds,medagents,deepseek_deepseek-v4-flash,1292,708,0.235,0.245,0.348,0.373,0.8151,69594
rarearena_rds,medagents,deepseek_deepseek-v4-pro,2000,0,0.213,0.226,0.337,0.362,5.2113,25070
rarearena_rds,medagents,google_gemini-3-flash-preview-20251217,2000,0,0.286,0.300,0.418,0.444,10.9142,16986
rarearena_rds,medagents,openai_gpt-5,2000,0,0.244,0.260,0.371,0.399,30.7487,23836
rarebench,agentclinic,deepseek_deepseek-v4-flash,860,60,0.016,0.017,0.036,0.041,0.1914,98152
rarebench,agentclinic,deepseek_deepseek-v4-pro,1122,0,0.005,0.006,0.013,0.015,0.8188,28845
rarebench,agentclinic,google_gemini-3-flash-preview-20251217,1122,0,0.012,0.013,0.037,0.040,2.5228,33262
rarebench,agentclinic,openai_gpt-5,1122,0,0.003,0.004,0.011,0.012,9.9156,108601
rarebench,deeprare,deepseek_deepseek-v4-flash,778,7,0.288,0.288,0.490,0.490,0.6525,362202
rarebench,deeprare,deepseek_deepseek-v4-pro,36,38,0.444,0.444,0.639,0.639,0.1201,1144299
rarebench,deeprare,google_gemini-3-flash-preview-20251217,953,1,0.297,0.297,0.496,0.496,14.4116,288268
rarebench,deeprare,openai_gpt-5,98,2,0.214,0.214,0.316,0.316,5.0191,316036
rarebench,lirical,lirical-2.4.0,1122,0,0.235,0.235,0.471,0.471,0.0000,3808
rarebench,llm_control,deepseek_deepseek-v4-flash,1021,101,0.054,0.054,0.113,0.123,0.7775,54429
rarebench,llm_control,deepseek_deepseek-v4-pro,1121,1,0.021,0.021,0.034,0.035,0.2740,4224
rarebench,llm_control,google_gemini-3-flash-preview-20251217,1122,0,0.018,0.023,0.044,0.056,0.9136,3312
rarebench,llm_control,openai_gpt-5,1098,24,0.005,0.005,0.022,0.024,3.2901,5617
rarebench,maidxo,deepseek_deepseek-v4-pro,10,80,0.000,0.000,0.000,0.000,0.0119,362887
rarebench,maidxo,google_gemini-3-flash-preview-20251217,703,128,0.006,0.006,0.006,0.006,1.7860,304988
rarebench,mdagents,deepseek_deepseek-v4-flash,1098,24,0.047,0.050,0.095,0.110,0.0670,58644
rarebench,mdagents,deepseek_deepseek-v4-pro,1122,0,0.037,0.037,0.071,0.074,0.2967,11321
rarebench,mdagents,google_gemini-3-flash-preview-20251217,1122,0,0.097,0.102,0.202,0.214,1.5196,6933
rarebench,mdagents,openai_gpt-5,1122,0,0.012,0.012,0.029,0.029,3.3474,7524
rarebench,medagents,deepseek_deepseek-v4-flash,783,339,0.049,0.050,0.112,0.123,0.3366,142542
rarebench,medagents,deepseek_deepseek-v4-pro,1122,0,0.011,0.011,0.032,0.034,2.1059,30162
rarebench,medagents,google_gemini-3-flash-preview-20251217,1122,0,0.045,0.053,0.104,0.122,5.2366,15192
rarebench,medagents,openai_gpt-5,1122,0,0.010,0.010,0.027,0.029,15.3774,68451
rarebench,vc_rdagent,vc_rdagent-offline-v1,1122,0,0.275,0.275,0.452,0.452,0.0000,75434
