dataset,agent,backbone,raw_rows,unique,dup_rows,valid_ok,invalid,in_frame,valid_pct,status
pmc_precutoff,llm_control,google_gemini-3-flash-preview-20251217,220,220,0,220,0,220,100.0,ready
pmc_precutoff,mdagents,google_gemini-3-flash-preview-20251217,220,220,0,219,1,220,99.5,ready
pmc_precutoff,medagents,google_gemini-3-flash-preview-20251217,220,220,0,220,0,220,100.0,ready
rarearena_rds,agentclinic,deepseek_deepseek-v4-flash,1981,1981,0,1764,217,1981,89.0,ready
rarearena_rds,agentclinic,deepseek_deepseek-v4-pro,2000,2000,0,2000,0,2000,100.0,ready
rarearena_rds,agentclinic,google_gemini-3-flash-preview-20251217,2000,2000,0,1974,26,2000,98.7,ready
rarearena_rds,agentclinic,openai_gpt-5,2000,2000,0,2000,0,2000,100.0,ready
rarearena_rds,deeprare,deepseek_deepseek-v4-flash,500,500,0,454,46,500,90.8,ready
rarearena_rds,deeprare,deepseek_deepseek-v4-pro,127,127,0,117,10,127,92.1,pending_fill_73 (coworker running)
rarearena_rds,deeprare,google_gemini-3-flash-preview-20251217,500,500,0,500,0,500,100.0,ready
rarearena_rds,deeprare,openai_gpt-5,200,200,0,177,23,200,88.5,ready
rarearena_rds,llm_control,deepseek_deepseek-v4-flash,2000,2000,0,1976,24,2000,98.8,ready
rarearena_rds,llm_control,deepseek_deepseek-v4-pro,2000,2000,0,2000,0,2000,100.0,ready
rarearena_rds,llm_control,google_gemini-3-flash-preview-20251217,2000,2000,0,2000,0,2000,100.0,ready
rarearena_rds,llm_control,openai_gpt-5,2000,2000,0,1974,26,2000,98.7,ready
rarearena_rds,maidxo,deepseek_deepseek-v4-flash,200,200,0,200,0,200,100.0,ready
rarearena_rds,maidxo,deepseek_deepseek-v4-pro,200,200,0,176,24,200,88.0,rerun_needed: v4pro timeout cases
rarearena_rds,maidxo,google_gemini-3-flash-preview-20251217,100,100,0,88,12,100,88.0,"rerun_needed: gemini bad-batch, at 100/200"
rarearena_rds,maidxo,openai_gpt-5,200,200,0,199,1,200,99.5,ready
rarearena_rds,mdagents,deepseek_deepseek-v4-flash,2000,2000,0,1993,7,2000,99.7,ready
rarearena_rds,mdagents,deepseek_deepseek-v4-pro,2000,2000,0,2000,0,2000,100.0,ready
rarearena_rds,mdagents,google_gemini-3-flash-preview-20251217,2000,2000,0,2000,0,2000,100.0,ready
rarearena_rds,mdagents,openai_gpt-5,2000,2000,0,2000,0,2000,100.0,ready
rarearena_rds,medagents,deepseek_deepseek-v4-flash,2000,2000,0,1292,708,2000,64.6,"accepted_v4flash_empty (model trait, see caption)"
rarearena_rds,medagents,deepseek_deepseek-v4-pro,2000,2000,0,2000,0,2000,100.0,ready
rarearena_rds,medagents,google_gemini-3-flash-preview-20251217,2000,2000,0,2000,0,2000,100.0,ready
rarearena_rds,medagents,openai_gpt-5,2000,2000,0,2000,0,2000,100.0,ready
rarebench,agentclinic,deepseek_deepseek-v4-flash,920,920,0,860,60,920,93.5,ready
rarebench,agentclinic,deepseek_deepseek-v4-pro,1122,1122,0,1122,0,1122,100.0,ready
rarebench,agentclinic,google_gemini-3-flash-preview-20251217,1122,1122,0,1122,0,1122,100.0,ready
rarebench,agentclinic,openai_gpt-5,1122,1122,0,1122,0,1122,100.0,ready
rarebench,deeprare,deepseek_deepseek-v4-flash,785,785,0,773,12,785,98.5,ready
rarebench,deeprare,deepseek_deepseek-v4-pro,158,158,0,125,33,158,79.1,ready
rarebench,deeprare,google_gemini-3-flash-preview-20251217,954,954,0,952,2,954,99.8,ready
rarebench,deeprare,openai_gpt-5,113,113,0,111,2,113,98.2,ready
rarebench,lirical,lirical-2.4.0,1122,1122,0,1122,0,1122,100.0,ready
rarebench,llm_control,deepseek_deepseek-v4-flash,1122,1122,0,1021,101,1122,91.0,ready
rarebench,llm_control,deepseek_deepseek-v4-pro,1122,1122,0,1121,1,1122,99.9,ready
rarebench,llm_control,google_gemini-3-flash-preview-20251217,1122,1122,0,1122,0,1122,100.0,ready
rarebench,llm_control,openai_gpt-5,1122,1122,0,1098,24,1122,97.9,ready
rarebench,maidxo,deepseek_deepseek-v4-flash,150,150,0,149,1,150,99.3,ready
rarebench,maidxo,deepseek_deepseek-v4-pro,143,143,0,69,74,143,48.3,rerun_needed: 71 timeout (600s wall)
rarebench,maidxo,google_gemini-3-flash-preview-20251217,831,831,0,703,128,831,84.6,ready
rarebench,maidxo,openai_gpt-5,150,150,0,150,0,150,100.0,ready
rarebench,mdagents,deepseek_deepseek-v4-flash,1122,1122,0,1098,24,1122,97.9,ready
rarebench,mdagents,deepseek_deepseek-v4-pro,1122,1122,0,1122,0,1122,100.0,ready
rarebench,mdagents,google_gemini-3-flash-preview-20251217,1122,1122,0,1122,0,1122,100.0,ready
rarebench,mdagents,openai_gpt-5,1122,1122,0,1122,0,1122,100.0,ready
rarebench,medagents,deepseek_deepseek-v4-flash,1122,1122,0,783,339,1122,69.8,"accepted_v4flash_empty (model trait, see caption)"
rarebench,medagents,deepseek_deepseek-v4-pro,1122,1122,0,1122,0,1122,100.0,ready
rarebench,medagents,google_gemini-3-flash-preview-20251217,1122,1122,0,1122,0,1122,100.0,ready
rarebench,medagents,openai_gpt-5,1122,1122,0,1122,0,1122,100.0,ready
rarebench,vc_rdagent,vc_rdagent-offline-v1,1122,1122,0,1122,0,1122,100.0,ready
