dataset,agent,backbone,raw_rows,unique_cases,dup_rows,valid_ok,invalid,in_canonical_frame,capped
rarearena_rds,medagents,deepseek_deepseek-v4-pro,2000,2000,0,2000,0,2000,True
rarearena_rds,medagents,google_gemini-3-flash-preview-20251217,2000,2000,0,2000,0,2000,True
rarearena_rds,medagents,openai_gpt-5,2000,2000,0,2000,0,2000,True
rarebench,agentclinic,deepseek_deepseek-v4-flash,1090,920,170,860,60,920,False
rarebench,agentclinic,deepseek_deepseek-v4-pro,1122,1122,0,1122,0,1122,False
rarebench,agentclinic,google_gemini-3-flash-preview-20251217,1122,1122,0,1122,0,1122,False
rarebench,agentclinic,openai_gpt-5,1140,1122,18,1122,0,1122,False
rarebench,deeprare,deepseek_deepseek-v4-flash,796,785,11,773,12,785,False
rarebench,deeprare,deepseek_deepseek-v4-pro,82,82,0,42,40,82,False
rarebench,deeprare,google_gemini-3-flash-preview-20251217,955,954,1,952,2,954,False
rarebench,deeprare,openai_gpt-5,100,100,0,95,5,100,False
rarebench,lirical,lirical-2.4.0,1122,1122,0,1122,0,1122,False
rarebench,llm_control,deepseek_deepseek-v4-flash,1179,1122,57,1021,101,1122,False
rarebench,llm_control,deepseek_deepseek-v4-pro,1123,1122,1,1121,1,1122,False
rarebench,llm_control,google_gemini-3-flash-preview-20251217,1122,1122,0,1122,0,1122,False
rarebench,llm_control,openai_gpt-5,1152,1122,30,1098,24,1122,False
rarebench,maidxo,deepseek_deepseek-v4-flash,150,150,0,149,1,150,False
rarebench,maidxo,deepseek_deepseek-v4-pro,140,139,1,65,74,139,False
rarebench,maidxo,google_gemini-3-flash-preview-20251217,875,831,44,703,128,831,False
rarebench,maidxo,openai_gpt-5,150,150,0,150,0,150,False
rarebench,mdagents,deepseek_deepseek-v4-flash,1132,1122,10,1098,24,1122,False
rarebench,mdagents,deepseek_deepseek-v4-pro,1122,1122,0,1122,0,1122,False
rarebench,mdagents,google_gemini-3-flash-preview-20251217,1122,1122,0,1122,0,1122,False
rarebench,mdagents,openai_gpt-5,1122,1122,0,1122,0,1122,False
rarebench,medagents,deepseek_deepseek-v4-flash,1452,1122,330,783,339,1122,False
rarebench,medagents,deepseek_deepseek-v4-pro,1122,1122,0,1122,0,1122,False
rarebench,medagents,google_gemini-3-flash-preview-20251217,1122,1122,0,1122,0,1122,False
rarebench,medagents,openai_gpt-5,1133,1122,11,1122,0,1122,False
rarebench,vc_rdagent,vc_rdagent-offline-v1,1136,1122,14,1122,0,1122,False
